index,label
0,withdraw_asset
1,claim_rewards
2,deposit_asset
3,swap_asset
4,repay_asset
5,claim_rewards
6,stake_asset
7,borrow_asset
8,repay_asset
9,claim_rewards
10,borrow_asset
11,repay_asset
12,withdraw_asset
13,withdraw_asset
14,stake_asset
15,unstake_asset
16,repay_asset
17,withdraw_asset
18,unstake_asset
19,stake_asset
20,swap_asset
21,unstake_asset
22,claim_rewards
23,withdraw_asset
24,unstake_asset
25,borrow_asset
26,deposit_asset
27,withdraw_asset
28,deposit_asset
29,repay_asset
30,unstake_asset
31,stake_asset
32,borrow_asset
33,deposit_asset
34,borrow_asset
35,deposit_asset
36,withdraw_asset
37,borrow_asset
38,claim_rewards
39,deposit_asset
40,claim_rewards
41,unstake_asset
42,deposit_asset
43,withdraw_asset
44,swap_asset
45,claim_rewards
46,stake_asset
47,repay_asset
48,withdraw_asset
49,unstake_asset
50,claim_rewards
51,deposit_asset
52,stake_asset
53,stake_asset
54,repay_asset
55,claim_rewards
56,unstake_asset
57,unstake_asset
58,stake_asset
59,withdraw_asset
60,deposit_asset
61,borrow_asset
62,deposit_asset
63,withdraw_asset
64,swap_asset
65,claim_rewards
66,swap_asset
67,borrow_asset
68,claim_rewards
69,swap_asset
70,stake_asset
71,borrow_asset
72,swap_asset
73,repay_asset
74,repay_asset
75,claim_rewards
76,borrow_asset
77,repay_asset
78,swap_asset
79,swap_asset
80,borrow_asset
81,withdraw_asset
82,swap_asset
83,deposit_asset
84,deposit_asset
85,borrow_asset
86,unstake_asset
87,stake_asset
88,repay_asset
89,stake_asset
90,unstake_asset
91,unstake_asset
92,claim_rewards
93,borrow_asset
94,unstake_asset
95,swap_asset
96,deposit_asset
97,withdraw_asset
98,repay_asset
99,deposit_asset
100,repay_asset
101,unstake_asset
102,stake_asset
103,stake_asset
104,swap_asset
105,claim_rewards
106,swap_asset
107,unstake_asset
108,borrow_asset
109,withdraw_asset
110,repay_asset
111,withdraw_asset
112,swap_asset
113,claim_rewards
114,repay_asset
115,deposit_asset
116,swap_asset
117,borrow_asset
118,stake_asset
119,stake_asset
