sample,true,geodesic_tasks,geodesic_order,geodesic_ok,stock_tasks,stock_order,stock_ok,geodesic_precision,geodesic_recall,geodesic_f1,geodesic_jaccard,geodesic_hallucination,geodesic_omission,stock_precision,stock_recall,stock_f1,stock_jaccard,stock_hallucination,stock_omission
1,remove_liquidity,withdraw|repay|add_liquidity|remove_liquidity|claim_rewards,remove_liquidity|repay|add_liquidity|claim_rewards|withdraw,0,withdraw|repay|remove_liquidity,remove_liquidity|repay|withdraw,0,0.2,1.0,0.33333333333333337,0.2,0.8,0.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0
2,deposit|swap|repay,deposit|withdraw|borrow|repay|swap|remove_liquidity,deposit|swap|borrow|repay|remove_liquidity|withdraw,0,deposit|borrow|swap|remove_liquidity,deposit|swap|borrow|remove_liquidity,0,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.5,0.6666666666666666,0.5714285714285715,0.4,0.5,0.3333333333333333
3,repay,deposit|withdraw|borrow|repay|swap|remove_liquidity,repay|swap|borrow|deposit|remove_liquidity|withdraw,0,borrow|repay|swap,repay|swap|borrow,0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.8333333333333334,0.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0
4,swap,deposit|withdraw|borrow|repay|swap|add_liquidity,withdraw|swap|deposit|repay|add_liquidity|borrow,0,deposit|swap,swap|deposit,0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.8333333333333334,0.0,0.5,1.0,0.6666666666666666,0.5,0.5,0.0
5,add_liquidity|deposit,deposit|add_liquidity|claim_rewards,claim_rewards|add_liquidity|deposit,0,deposit|add_liquidity,add_liquidity|deposit,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0
6,claim_rewards|deposit,deposit|repay|add_liquidity|remove_liquidity|claim_rewards,claim_rewards|deposit|remove_liquidity|add_liquidity|repay,0,deposit|claim_rewards,claim_rewards|deposit,1,0.4,1.0,0.5714285714285715,0.4,0.6,0.0,1.0,1.0,1.0,1.0,0.0,0.0
7,claim_rewards,withdraw|borrow|repay|claim_rewards,withdraw|claim_rewards|repay|borrow,0,borrow|repay|claim_rewards,claim_rewards|repay|borrow,0,0.25,1.0,0.4,0.25,0.75,0.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0
8,add_liquidity|withdraw,deposit|withdraw|borrow|repay|swap|add_liquidity|remove_liquidity,deposit|swap|remove_liquidity|add_liquidity|borrow|withdraw|repay,0,withdraw|borrow|repay|add_liquidity,add_liquidity|borrow|withdraw|repay,0,0.2857142857142857,1.0,0.4444444444444445,0.2857142857142857,0.7142857142857143,0.0,0.5,1.0,0.6666666666666666,0.5,0.5,0.0
9,repay,withdraw|repay|swap|remove_liquidity|claim_rewards,remove_liquidity|repay|claim_rewards|withdraw|swap,0,withdraw|repay,repay|withdraw,0,0.2,1.0,0.33333333333333337,0.2,0.8,0.0,0.5,1.0,0.6666666666666666,0.5,0.5,0.0
10,remove_liquidity|claim_rewards|repay,withdraw|borrow|repay|swap|remove_liquidity|claim_rewards,borrow|withdraw|remove_liquidity|claim_rewards|repay|swap,0,remove_liquidity,remove_liquidity,0,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.6666666666666666
