kind,prompt,label,top1,verify_ok,reason,stable_top1,top1_list
exec,deposit 10 ETH into aave,,deposit_asset,True,,True,"['deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset']"
exec,deposit 2500 USDC into aave,,deposit_asset,True,,True,"['deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset']"
exec,swap 2 ETH for USDC,,swap_asset,True,,True,"['swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset']"
exec,swap 1000 USDC to ETH,,swap_asset,True,,True,"['swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset', 'swap_asset']"
exec,repay 200 USDC loan,,withdraw_asset,True,,True,"['withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset']"
exec,repay 0.1 ETH debt,,withdraw_asset,True,,True,"['withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset']"
exec,add 1 ETH as collateral,,deposit_asset,True,,True,"['deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset']"
exec,add 500 USDC as collateral,,deposit_asset,True,,True,"['deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset', 'deposit_asset']"
exec,remove 0.05 ETH of collateral,,withdraw_asset,True,,True,"['withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset']"
exec,remove 100 USDC collateral,,withdraw_asset,True,,True,"['withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset', 'withdraw_asset']"
