kind,prompt,label,top1,verify_ok,reason,stable_top1,top1_list
exec,deposit 10 ETH into aave,,deposit_asset,True,,True,"['deposit_asset', 'deposit_asset', 'deposit_asset']"
exec,deposit 2500 USDC into aave,,deposit_asset,True,,True,"['deposit_asset', 'deposit_asset', 'deposit_asset']"
exec,swap 2 ETH for USDC,,swap_asset,True,,True,"['swap_asset', 'swap_asset', 'swap_asset']"
exec,swap 1000 USDC to ETH,,swap_asset,True,,True,"['swap_asset', 'swap_asset', 'swap_asset']"
exec,repay 200 USDC loan,,,False,hf,True,"[None, None, None]"
exec,repay 0.1 ETH debt,,,False,abstain_non_exec,True,"[None, None, None]"
exec,add 1 ETH as collateral,,,False,abstain_non_exec,True,"[None, None, None]"
exec,add 500 USDC as collateral,,borrow_asset,True,,True,"['borrow_asset', 'borrow_asset', 'borrow_asset']"
exec,remove 0.05 ETH of collateral,,,False,abstain_non_exec,True,"[None, None, None]"
exec,remove 100 USDC collateral,,,False,abstain_non_exec,True,"[None, None, None]"
blocked,withdraw 5 ETH,,,False,ltv,True,"[None, None, None]"
blocked,withdraw 3 ETH,,,False,ltv,True,"[None, None, None]"
blocked,borrow 1000 USDC,,,False,hf,True,"[None, None, None]"
blocked,borrow 2500 USDC,,,False,hf,True,"[None, None, None]"
blocked,borrow 2 ETH,,,False,hf,True,"[None, None, None]"
blocked,withdraw 1500 USDC,,,False,ltv,True,"[None, None, None]"
blocked,withdraw 1 ETH,,,False,ltv,True,"[None, None, None]"
blocked,borrow 500 USDC,,borrow_asset,True,,True,"['borrow_asset', 'borrow_asset', 'borrow_asset']"
blocked,withdraw 0.5 ETH,,,False,ltv,True,"[None, None, None]"
blocked,borrow 300 USDC,,,False,hf,True,"[None, None, None]"
nonexec,check balance,,,False,abstain_non_exec,True,"[None, None, None]"
nonexec,show my open positions,,,False,abstain_non_exec,True,"[None, None, None]"
nonexec,list my loans,,,False,hf,True,"[None, None, None]"
nonexec,what is my health factor,,,False,abstain_non_exec,True,"[None, None, None]"
nonexec,explain LTV,,,False,abstain_non_exec,True,"[None, None, None]"
nonexec,help,,,False,abstain_non_exec,True,"[None, None, None]"
