sample,true,geodesic_tasks,geodesic_order,geodesic_ok,stock_tasks,stock_order,stock_ok,geodesic_precision,geodesic_recall,geodesic_f1,geodesic_jaccard,geodesic_hallucination,geodesic_omission,stock_precision,stock_recall,stock_f1,stock_jaccard,stock_hallucination,stock_omission
1,remove_liquidity,deposit|withdraw|repay|add_liquidity|remove_liquidity,remove_liquidity|repay|deposit|add_liquidity|withdraw,0,withdraw|repay,repay|withdraw,0,0.2,1.0,0.33333333333333337,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,deposit|swap|repay,deposit|withdraw|borrow|repay|swap|remove_liquidity,deposit|swap|repay|borrow|remove_liquidity|withdraw,0,deposit|borrow|remove_liquidity,deposit|borrow|remove_liquidity,0,0.5,1.0,0.6666666666666666,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.6666666666666666,0.6666666666666666
3,repay,deposit|withdraw|borrow|repay|swap|add_liquidity|claim_rewards,withdraw|repay|deposit|borrow|swap|claim_rewards|add_liquidity,0,deposit|withdraw|borrow|repay|swap|claim_rewards,withdraw|repay|deposit|borrow|swap|claim_rewards,0,0.14285714285714285,1.0,0.25,0.14285714285714285,0.8571428571428571,0.0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.8333333333333334,0.0
4,swap|claim_rewards,deposit|borrow|repay|swap|add_liquidity|claim_rewards,borrow|swap|claim_rewards|deposit|repay|add_liquidity,0,deposit|swap|claim_rewards,swap|claim_rewards|deposit,0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0
5,deposit|add_liquidity,deposit|withdraw|add_liquidity|remove_liquidity|claim_rewards,remove_liquidity|deposit|add_liquidity|claim_rewards|withdraw,0,deposit|withdraw|remove_liquidity,remove_liquidity|deposit|withdraw,0,0.4,1.0,0.5714285714285715,0.4,0.6,0.0,0.3333333333333333,0.5,0.4,0.25,0.6666666666666666,0.5
6,withdraw,deposit|withdraw|remove_liquidity|claim_rewards,withdraw|claim_rewards|remove_liquidity|deposit,0,withdraw,withdraw,1,0.25,1.0,0.4,0.25,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.0
7,deposit|swap|claim_rewards,deposit|swap|add_liquidity|remove_liquidity|claim_rewards,remove_liquidity|deposit|swap|claim_rewards|add_liquidity,0,swap|claim_rewards,swap|claim_rewards,0,0.6,1.0,0.7499999999999999,0.6,0.4,0.0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333
8,repay,deposit|borrow|repay|swap|add_liquidity|remove_liquidity,remove_liquidity|repay|borrow|swap|add_liquidity|deposit,0,borrow|swap|remove_liquidity,remove_liquidity|borrow|swap,0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9,deposit|withdraw,deposit|withdraw|borrow|swap|remove_liquidity,deposit|withdraw|remove_liquidity|borrow|swap,0,deposit|swap,deposit|swap,0,0.4,1.0,0.5714285714285715,0.4,0.6,0.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.5
10,remove_liquidity|repay|claim_rewards,deposit|repay|swap|remove_liquidity|claim_rewards,remove_liquidity|repay|claim_rewards|deposit|swap,0,repay|claim_rewards,repay|claim_rewards,0,0.6,1.0,0.7499999999999999,0.6,0.4,0.0,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333
11,withdraw|remove_liquidity|add_liquidity,withdraw|borrow|repay|swap|add_liquidity|remove_liquidity|claim_rewards,claim_rewards|repay|withdraw|remove_liquidity|swap|add_liquidity|borrow,0,borrow|add_liquidity|remove_liquidity,remove_liquidity|add_liquidity|borrow,0,0.42857142857142855,1.0,0.6,0.42857142857142855,0.5714285714285714,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333
12,borrow,deposit|borrow|swap,borrow|swap|deposit,0,deposit|borrow|swap,borrow|swap|deposit,0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0
