sample,true,geodesic_tasks,geodesic_order,geodesic_ok,stock_tasks,stock_order,stock_ok,geodesic_precision,geodesic_recall,geodesic_f1,geodesic_jaccard,geodesic_hallucination,geodesic_omission,stock_precision,stock_recall,stock_f1,stock_jaccard,stock_hallucination,stock_omission
1,remove_liquidity,remove_liquidity,remove_liquidity,1,remove_liquidity,remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2,deposit|swap|claim_rewards,deposit|swap|claim_rewards,deposit|swap|claim_rewards,1,deposit|swap|claim_rewards,deposit|swap|claim_rewards,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
3,repay,repay,repay,1,repay,repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
4,repay|borrow,borrow|repay,repay|borrow,1,borrow|repay,repay|borrow,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
5,repay|remove_liquidity|deposit,deposit|repay|remove_liquidity,repay|remove_liquidity|deposit,1,deposit|repay|remove_liquidity,repay|remove_liquidity|deposit,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
6,repay|claim_rewards|swap,repay|swap|claim_rewards,repay|claim_rewards|swap,1,repay|swap|claim_rewards,repay|claim_rewards|swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
7,remove_liquidity|repay,repay|remove_liquidity,remove_liquidity|repay,1,repay|remove_liquidity,remove_liquidity|repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
8,swap|add_liquidity|remove_liquidity,swap|add_liquidity|remove_liquidity|claim_rewards,swap|add_liquidity|claim_rewards|remove_liquidity,0,swap|add_liquidity|remove_liquidity,swap|add_liquidity|remove_liquidity,1,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
9,withdraw,withdraw,withdraw,1,withdraw,withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
10,add_liquidity|remove_liquidity|borrow,borrow|add_liquidity|remove_liquidity,add_liquidity|remove_liquidity|borrow,1,borrow|add_liquidity|remove_liquidity,add_liquidity|remove_liquidity|borrow,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
11,swap,swap,swap,1,swap,swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
12,add_liquidity|claim_rewards|withdraw,withdraw|add_liquidity|claim_rewards,add_liquidity|claim_rewards|withdraw,1,withdraw|add_liquidity|claim_rewards,add_liquidity|claim_rewards|withdraw,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
13,repay,repay,repay,1,repay,repay,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
14,add_liquidity|remove_liquidity,add_liquidity|remove_liquidity,add_liquidity|remove_liquidity,1,add_liquidity|remove_liquidity,add_liquidity|remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
15,remove_liquidity,remove_liquidity,remove_liquidity,1,remove_liquidity,remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
16,borrow|repay|swap,borrow|repay|swap,borrow|repay|swap,1,borrow|repay|swap,borrow|repay|swap,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
17,claim_rewards|remove_liquidity,remove_liquidity|claim_rewards,claim_rewards|remove_liquidity,1,remove_liquidity|claim_rewards,claim_rewards|remove_liquidity,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
18,borrow|add_liquidity|withdraw,withdraw|borrow|swap|add_liquidity,borrow|swap|add_liquidity|withdraw,0,withdraw|borrow|add_liquidity,borrow|add_liquidity|withdraw,1,0.75,1.0,0.8571428571428571,0.75,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0
19,swap|add_liquidity,swap|add_liquidity|claim_rewards,swap|add_liquidity|claim_rewards,0,swap|add_liquidity,swap|add_liquidity,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0
