i,truth,keep,order,acc_exact,precision,recall,f1,hallucination,omission,abstain,conf,smax,smed
1,remove_liquidity,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","claim_rewards,borrow,deposit,remove_liquidity,repay,add_liquidity,swap,withdraw",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.01669027060237145,0.9660828578069651,0.9499586734858378
2,"deposit,swap,repay","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","add_liquidity,deposit,swap,claim_rewards,withdraw,repay,borrow,remove_liquidity",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.0009071061489099172,0.9661230705396555,0.9652466943617644
3,repay,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","add_liquidity,swap,borrow,repay,remove_liquidity,withdraw,claim_rewards,deposit",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.008631537071244628,0.965166624805703,0.9568357533037559
4,swap,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","withdraw,swap,repay,deposit,borrow,add_liquidity,claim_rewards,remove_liquidity",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.02200604803028884,0.9653887188815612,0.9441443283659325
5,"add_liquidity,deposit","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","claim_rewards,add_liquidity,deposit,remove_liquidity,borrow,swap,repay,withdraw",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.01818291732212355,0.9653860636706513,0.9478325286909793
6,"claim_rewards,deposit","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,claim_rewards,add_liquidity,deposit,withdraw,remove_liquidity,repay,swap",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.019009375255115573,0.9658108550781361,0.9474513941084728
7,claim_rewards,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","swap,remove_liquidity,claim_rewards,withdraw,repay,borrow,add_liquidity,deposit",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.011632957300524275,0.9650509461738133,0.9538245497241311
8,"add_liquidity,withdraw","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","remove_liquidity,add_liquidity,borrow,swap,withdraw,deposit,claim_rewards,repay",0.0,0.25,1.0,0.4,1.0,0.0,0.0,0.000731829559211806,0.9660150791651579,0.9653081207755798
9,add_liquidity,"deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","claim_rewards,add_liquidity,remove_liquidity,borrow,deposit,repay,withdraw,swap",0.0,0.125,1.0,0.2222222222222222,1.0,0.0,0.0,0.025394767028328165,0.965629098418073,0.9411071724279461
10,"repay,remove_liquidity,swap","deposit,withdraw,borrow,repay,swap,add_liquidity,remove_liquidity,claim_rewards","borrow,deposit,add_liquidity,repay,remove_liquidity,withdraw,swap,claim_rewards",0.0,0.375,1.0,0.5454545454545454,1.0,0.0,0.0,0.008277807034484119,0.9666698350957147,0.9586679287347275
